,setID,RepCount,isValid,removed,StartMessg,RepN,AvgVel,ROM,PeakVel,PeakVelLoc,PeakAccel,RepDur,TimeBWReps,TimeRepComp,TimeRepWait,SlowAllow,Backlight
129,042bf6e1-a9cd-42db-be95-6a5a04a9697c,8,True,False,-1234,3,0.6827109,637,1.248479,82,-9999,5,10,-9876,796.0662,494.0561,451.0497
130,042bf6e1-a9cd-42db-be95-6a5a04a9697c,9,True,False,-1234,1,0.6759331,605,1.293889,84,-9999,5,10,-9876,821.0824,573.0613,448.0604
131,042bf6e1-a9cd-42db-be95-6a5a04a9697c,10,True,False,-1234,2,0.6985523,634,1.291384,78,-9999,5,10,-9876,952.0631,628.0488,521.046
132,042bf6e1-a9cd-42db-be95-6a5a04a9697c,11,True,False,-1234,3,0.6783532,637,1.285783,82,-9999,5,10,-9876,939.0607,628.0555,534.0512
133,042bf6e1-a9cd-42db-be95-6a5a04a9697c,12,True,False,-1234,1,0.6793923,621,1.295775,83,-9999,5,10,-9876,988.0616,698.0576,567.0491
134,042bf6e1-a9cd-42db-be95-6a5a04a9697c,13,True,False,-1234,2,0.6549501,616,1.248479,83,-9999,5,10,-9876,1046.06,701.0497,558.0454
135,042bf6e1-a9cd-42db-be95-6a5a04a9697c,14,True,False,-1234,3,0.6881399,629,1.272294,82,-9999,5,10,-9876,772.068,497.0552,469.046
136,042bf6e1-a9cd-42db-be95-6a5a04a9697c,15,True,False,-1234,1,0.6549501,616,1.334,82,-9999,5,10,-9876,1113.074,695.0613,656.0573
137,042bf6e1-a9cd-42db-be95-6a5a04a9697c,16,True,False,-1234,2,0.688906,608,1.231195,84,-9999,5,10,-9876,930.0595,646.0512,540.0448
138,042bf6e1-a9cd-42db-be95-6a5a04a9697c,17,True,False,-1234,3,0.686639,629,1.316881,80,-9999,5,10,-9876,1013.066,671.0555,570.0482
139,042bf6e1-a9cd-42db-be95-6a5a04a9697c,18,True,False,-1234,1,0.6896871,608,1.304008,80,-9999,5,10,-9876,860.082,585.0573,589.0524
140,042bf6e1-a9cd-42db-be95-6a5a04a9697c,19,True,False,-1234,2,0.7010155,632,1.249649,81,-9999,5,10,-9876,967.0564,656.0473,509.0424
141,042bf6e1-a9cd-42db-be95-6a5a04a9697c,20,True,False,-1234,3,0.6883326,645,1.272901,81,-9999,5,10,-9876,805.0689,515.0589,473.0515
142,042bf6e1-a9cd-42db-be95-6a5a04a9697c,21,True,False,-1234,1,0.6891063,602,1.27839,83,-9999,5,10,-9876,1062.07,702.0531,528.0531
143,042bf6e1-a9cd-42db-be95-6a5a04a9697c,22,True,False,-1234,2,0.7004226,642,1.26266,81,-9999,5,10,-9876,836.0692,512.0573,457.0564
144,042bf6e1-a9cd-42db-be95-6a5a04a9697c,23,True,False,-1234,3,0.6994646,632,1.285164,81,-9999,5,10,-9876,1001.058,683.0479,534.0436
145,042bf6e1-a9cd-42db-be95-6a5a04a9697c,24,True,False,-1234,1,0.6411039,610,1.26266,80,-9999,5,10,-9876,961.0863,698.0702,613.0601
146,042bf6e1-a9cd-42db-be95-6a5a04a9697c,25,True,False,-1234,2,0.6505925,608,1.275335,83,-9999,5,10,-9876,878.0903,607.0686,561.0683
